Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
225,Vitus Eicher,GER,GK,Heidenheim,34,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
226,Oliver Ekroth,SWE,DF,KV,33,7,7,585,6.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,12,1,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
227,Marios Elia,CYP,"MF,FW",Pafos FC,29,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27
228,Juergen Elitim,COL,MF,Legia Warsaw,25,4,3,250,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,7,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
229,Mohamed Elyounoussi,NOR,"FW,MF",FC Copenhagen,30,9,8,682,7.6,1,0,1,1,0,0,2,0,2.2,2.2,1.8,3.9,31,24,64,0.13,0.00,0.13,0.13,0.13,0.29,0.23,0.52,0.29,0.52
230,Úmaro Embaló,POR,FW,Vitória,24,2,2,121,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,2,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
231,Mads Enggård,DEN,"MF,FW",Molde,21,10,8,743,8.3,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.3,7,57,20,0.00,0.00,0.00,0.00,0.00,0.05,0.11,0.16,0.05,0.16
232,Maximilian Entrup,AUT,FW,LASK,27,6,3,315,3.5,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,6,6,25,0.00,0.29,0.29,0.00,0.29,0.17,0.17,0.34,0.17,0.34
233,Novica Erakovic,MNE,MF,AC Omonia,25,8,5,483,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,27,14,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
234,Onur Ergün,nan,"MF,DF",Başakşehir,32,6,5,416,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,10,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
235,Kristian Eriksen,NOR,"MF,FW",Molde,29,10,8,844,9.4,1,0,1,1,0,0,2,1,2.3,2.3,0.6,2.9,16,28,60,0.11,0.00,0.11,0.11,0.11,0.25,0.07,0.32,0.25,0.32
236,Magnus Eriksson,SWE,MF,Djurgården,35,2,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
237,Lee Erwin,SCO,FW,HJK,31,6,6,503,5.6,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.2,7,6,25,0.18,0.00,0.18,0.18,0.18,0.15,0.06,0.22,0.15,0.22
238,Ewandro,BRA,MF,AC Omonia,29,3,1,87,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,13,6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
239,Abde Ezzalzouli,MAR,"FW,MF",Betis,23,12,5,617,6.9,3,0,3,3,0,0,1,0,3.2,3.2,0.5,3.7,38,15,60,0.44,0.00,0.44,0.44,0.44,0.49,0.08,0.57,0.49,0.57
240,Konrad Faber,GER,"DF,FW",St. Gallen,27,3,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,6,7,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
241,Fabiano,BRA,GK,AC Omonia,37,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
242,Noah Fadiga,SEN,FW,Gent,25,3,2,143,1.6,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,3,2,11,0.63,0.00,0.63,0.63,0.63,0.46,0.00,0.46,0.46,0.46
243,Nicolò Fagioli,ITA,MF,Fiorentina,24,6,5,427,4.7,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,4,24,12,0.21,0.00,0.21,0.21,0.21,0.08,0.05,0.13,0.08,0.13
244,Rasmus Falk,DEN,MF,FC Copenhagen,33,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
245,Oskar Fallenius,SWE,FW,Djurgården,23,7,5,362,4.0,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,7,8,32,0.25,0.00,0.25,0.25,0.25,0.35,0.01,0.36,0.35,0.36
